@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute class {Cells,Background}

@data
130,112.329872,1041.93042,-1162,113688,-688.847778,-1635.152222,-0.210078,1209132646400,895492,128.523315,109.52375,1001.552551,-1117.157104,105217.75,-662.412903,-1571.901245,-0.21037,1032340045824,827169.0625,120.392632,91.501213,761.416016,-858.842468,68890.390625,-518.971558,-1198.713379,-0.215008,340812038144,462048.875,8.130684,107.81044,55.194855,392.201782,-476.512054,34579.824219,-327.562012,-625.462097,-0.221655,20150648832,88744.460938,20.712875,12.582191,91.100365,17.093857,85.196922,-116.030548,3093.137695,-99.518913,-132.542191,0.131026,14681992,1090.536743,37.422951,29.292267,16.710075,Cells
129,143.951385,1088.711182,-1356,314864,-975.447754,-1736.552246,-0.208312,1065142976512,579280,127.70565,140.019852,1044.738525,-1302.75061,292406.28125,-939.592957,-1665.908203,-0.204549,895308922880,527533.875,119.626923,115.958115,786.341187,-989.186523,175968.609375,-727.167664,-1251.205322,-0.176667,268708544512,274615.53125,8.078728,105.19252,70.052544,402.659668,-516.664185,52155.839844,-395.91803,-637.410339,-0.092697,15567655936,58318.523438,22.51313,14.434402,87.342003,24.306387,93.590286,-121.381866,2917.335205,-93.704185,-149.059555,0.220647,45146808,3064.216309,40.363647,32.28492,17.850517,Cells
145,92.314682,1373.280396,-1814,690948,-1451.093628,-2176.90625,-0.214568,1733499158528,526804,143.159683,89.018883,1318.029175,-1743.914551,641762.8125,-1399.608398,-2088.220703,-0.2145,1442114961408,474186.8125,132.338165,70.591949,993.970581,-1330.528931,386467.1875,-1093.654175,-1567.403687,-0.210791,397325336576,224438.625,10.821518,112.963226,43.650349,500.536407,-680.592407,105958.53125,-581.380676,-779.804138,-0.140048,18237278208,39371.851563,30.196457,19.374939,90.110054,18.278971,107.681808,-146.25737,4826.186523,-123.418419,-169.096329,0.276039,44632156,2086.470947,53.049629,42.228111,22.853172,Cells
148,83.198555,1359.780884,-1796,683104,-1444.859009,-2147.141113,-0.147365,1590873817088,493200,146.267792,78.468079,1308.144043,-1731.410156,638489.0625,-1398.309204,-2064.510986,-0.148978,1330489851904,443824.875,135.66745,50.812588,1003.46991,-1346.888428,401094.46875,-1117.906738,-1575.870117,-0.15644,380473802752,209730.46875,10.600342,116.058434,16.896229,522.238953,-715.558105,119406.21875,-622.823914,-808.292297,-0.118931,17612840960,34398.507813,30.209358,19.609016,91.94149,10.758312,112.319031,-154.43158,5530.807617,-133.659714,-175.203445,0.341583,41160768,1725.882568,54.326302,43.72596,24.116943,Cells
138,124.739731,1098.719238,-1376,342448,-1014.204468,-1737.795532,-0.049834,991341379584,523584,136.872101,118.906387,1061.759033,-1335.205811,327142.3125,-990.892944,-1679.518677,-0.049494,845401358336,474205.40625,129.709991,84.426674,839.34967,-1083.410156,234339.921875,-840.296082,-1326.52417,-0.050026,277501870080,236417.765625,7.162109,114.137466,33.69685,461.748962,-619.011475,84947.273438,-514.864868,-723.158081,-0.039786,16624471040,43386.082031,22.734634,15.572525,92.710052,4.852477,105.236198,-143.940048,4707.881348,-122.219025,-165.661072,0.38466,39100640,1887.211426,44.162048,36.999939,21.427414,Cells
124,143.010483,782.623169,-858,60728,-506.840485,-1209.159546,0.067123,363114364928,493252,123.235725,137.138824,759.868103,-836.417786,60157.886719,-497.683716,-1175.151855,0.064167,321088159744,458963.09375,118.563972,103.862198,617.877197,-700.938232,54486.921875,-439.515808,-962.360657,0.04566,134309019648,273366.75,4.671753,108.500717,51.945435,358.015869,-441.487183,33337.050781,-317.428009,-565.546387,0.031619,11999248384,61562.726563,14.735008,10.063255,92.504539,7.320789,88.322037,-117.45668,2840.981201,-92.798279,-142.115082,0.400355,33554074,2432.146973,30.731186,26.059433,15.996178,Cells
113,170.891785,578.490295,-686,20232,-373.883026,-998.116943,-0.714676,183376199680,389668,112.524979,165.750336,565.270935,-675.557495,25080.414063,-377.205261,-973.909729,-0.704177,162496200704,356056.21875,109.530899,134.85495,485.104248,-603.315002,42310.980469,-382.665375,-823.964661,-0.628384,70885056512,194745.046875,2.99408,100.812859,80.465324,296.070038,-385.522614,27206.919922,-285.772919,-485.272308,-0.473568,5915383808,39800.011719,11.71212,8.71804,86.548111,27.469398,80.06543,-106.193665,2429.169189,-86.442604,-125.944725,0.073119,17596970,1560.416992,25.976868,22.982788,14.264748,Cells
121,186.783295,597.354187,-804,131344,-630.045959,-977.954041,-0.955363,78242193408,121040,120.713852,179.46698,591.551819,-800.034546,132586.203125,-634.421692,-965.6474,-0.938057,70220783616,109710.5,118.106384,136.759216,546.513367,-753.678589,127370.164063,-632.692322,-874.664856,-0.805429,33258645504,58550.714844,2.607468,107.360298,72.016502,355.054443,-494.960449,58285.140625,-440.54248,-549.378418,-0.54997,2901921280,11845.260742,13.353554,10.746086,89.428162,22.129105,93.16761,-128.140839,3833.501709,-111.663071,-144.618607,0.272283,17833312,1086.067627,31.28569,28.678223,17.932137,Cells
122,192.150986,500.695526,-676,102852,-569.266663,-782.733337,1.457397,20823482368,45568,121.755913,184.451828,498.971008,-680.407959,106784.835938,-585.782837,-775.033081,1.462538,16581027840,35815.636719,119.584251,138.917953,487.010651,-686.098145,116772.335938,-655.926453,-716.269836,1.528082,1714081408,3641.320801,2.171661,109.759254,66.622581,351.012054,-495.854431,61330.949219,-484.151733,-507.557129,-0.021126,134691728,547.813232,11.996658,9.824997,91.435577,15.252887,97.527611,-134.322632,4138.592285,-115.034027,-153.611237,0.485856,26850980,1488.201538,30.320335,28.148674,18.323677,Cells
122,185.913956,520.411377,-660,55936,-429.860901,-890.139099,0.802782,92284477440,211856,121.316536,183.03595,511.590973,-652.898438,58030.035156,-432.582642,-873.214233,0.801135,82764210176,194156.21875,117.270584,162.446503,455.621368,-602.332642,64517.226563,-440.518127,-764.147156,0.778794,37998608384,104735.742188,4.045952,108.379944,101.783905,315.414307,-435.255981,43042.140625,-369.530792,-500.981171,0.622504,3273506560,17279.203125,12.936592,8.89064,91.489182,35.025177,101.143547,-140.480026,4737.552734,-126.476219,-154.483841,-0.1992,15480373,784.426514,29.827354,25.781403,16.890762,Cells
