@relation segment

@attribute original numeric
@attribute Lipschitz_true_true_5.0 numeric
@attribute Lipschitz_true_true_10.0 numeric
@attribute Lipschitz_true_true_15.0 numeric
@attribute Lipschitz_true_true_20.0 numeric
@attribute Lipschitz_true_true_25.0 numeric
@attribute 'Kuwahara_9_ 10_0' numeric
@attribute 'Kuwahara_9_ 10_1' numeric
@attribute 'Kuwahara_9_ 10_2' numeric
@attribute Gabor_1_1.0_1.0_0_2.0 numeric
@attribute Gabor_2_1.0_1.0_0_2.0 numeric
@attribute Gabor_1_1.0_0.5_0_2.0 numeric
@attribute Gabor_2_1.0_0.5_0_2.0 numeric
@attribute Gabor_1_1.0_0.25_0_2.0 numeric
@attribute Gabor_2_1.0_0.25_0_2.0 numeric
@attribute Gabor_1_1.0_1.0_2_2.0 numeric
@attribute Gabor_2_1.0_1.0_2_2.0 numeric
@attribute Gabor_1_1.0_0.5_2_2.0 numeric
@attribute Gabor_2_1.0_0.5_2_2.0 numeric
@attribute Gabor_1_1.0_0.25_2_2.0 numeric
@attribute Gabor_2_1.0_0.25_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_2.0 numeric
@attribute Gabor_2_2.0_1.0_0_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_3.0 numeric
@attribute Gabor_2_2.0_1.0_0_3.0 numeric
@attribute Gabor_1_2.0_2.0_0_2.0 numeric
@attribute Gabor_2_2.0_2.0_0_2.0 numeric
@attribute Gabor_1_2.0_2.0_0_3.0 numeric
@attribute Gabor_2_2.0_2.0_0_3.0 numeric
@attribute Gabor_1_4.0_1.0_0_2.0 numeric
@attribute Gabor_2_4.0_1.0_0_2.0 numeric
@attribute Gabor_1_4.0_1.0_0_3.0 numeric
@attribute Gabor_2_4.0_1.0_0_3.0 numeric
@attribute Gabor_1_4.0_2.0_0_2.0 numeric
@attribute Gabor_2_4.0_2.0_0_2.0 numeric
@attribute Gabor_1_4.0_2.0_0_3.0 numeric
@attribute Gabor_2_4.0_2.0_0_3.0 numeric
@attribute Gabor_1_2.0_1.0_2_2.0 numeric
@attribute Gabor_2_2.0_1.0_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_2_3.0 numeric
@attribute Gabor_2_2.0_1.0_2_3.0 numeric
@attribute Gabor_1_2.0_2.0_2_2.0 numeric
@attribute Gabor_2_2.0_2.0_2_2.0 numeric
@attribute Gabor_1_2.0_2.0_2_3.0 numeric
@attribute Gabor_2_2.0_2.0_2_3.0 numeric
@attribute Gabor_1_4.0_1.0_2_2.0 numeric
@attribute Gabor_2_4.0_1.0_2_2.0 numeric
@attribute Gabor_1_4.0_1.0_2_3.0 numeric
@attribute Gabor_2_4.0_1.0_2_3.0 numeric
@attribute Gabor_1_4.0_2.0_2_2.0 numeric
@attribute Gabor_2_4.0_2.0_2_2.0 numeric
@attribute Gabor_1_4.0_2.0_2_3.0 numeric
@attribute Gabor_2_4.0_2.0_2_3.0 numeric
@attribute Hessian_6.0 numeric
@attribute Hessian_Trace_6.0 numeric
@attribute Hessian_Determinant_6.0 numeric
@attribute Hessian_Eigenvalue_1_6.0 numeric
@attribute Hessian_Eigenvalue_2_6.0 numeric
@attribute Hessian_Orientation_6.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_6.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_6.0 numeric
@attribute Hessian_12.0 numeric
@attribute Hessian_Trace_12.0 numeric
@attribute Hessian_Determinant_12.0 numeric
@attribute Hessian_Eigenvalue_1_12.0 numeric
@attribute Hessian_Eigenvalue_2_12.0 numeric
@attribute Hessian_Orientation_12.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_12.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_12.0 numeric
@attribute Difference_of_gaussians_12.0_6.0 numeric
@attribute Membrane_projections_0_9_1 numeric
@attribute Membrane_projections_1_9_1 numeric
@attribute Membrane_projections_2_9_1 numeric
@attribute Membrane_projections_3_9_1 numeric
@attribute Membrane_projections_4_9_1 numeric
@attribute Membrane_projections_5_9_1 numeric
@attribute class {cell,back}

@data
109,191,208,225,238,245,120.13636,120.13636,120.13636,2.808367,2.43014,2.50452,2.234776,2.27889,1.980458,9.91974,-8.878088,10.21226,-9.679661,9.235082,-9.503227,3.235941,2.10985,5.485504,0.592523,3.293705,2.364445,6.055112,1.232113,3.335632,2.350518,8.607369,0.300713,3.71164,2.77502,8.533421,0.177469,10.085931,-9.685965,8.944781,-6.007124,10.272977,-9.716027,8.34601,-5.614254,9.938728,-10.054006,8.288982,-8.997951,11.250127,-10.424553,8.788393,-8.939651,130.960098,-171.246368,5643.796875,-130.166779,-212.325958,-1.165229,197949776,6750.132324,24.587162,-32.272705,178.758484,-23.238138,-41.30727,0.704054,340052.03125,326.493561,11.492065,93.820908,107.9375,78.684212,938.209106,10.763215,97.294113,cell
99,178,197,216,232,245,83.833336,83.833336,83.833336,2.509049,2.020734,2.335166,2.026777,2.236217,1.91827,9.119034,-7.178783,9.820338,-8.486659,8.996961,-8.808352,2.900922,1.702345,4.522773,-0.532924,2.823829,1.816229,4.420856,-0.581646,2.954972,1.92984,7.545233,-1.02259,3.058336,2.149853,6.949311,-1.425986,9.588882,-8.580941,7.401322,-4.353441,9.374534,-8.29413,6.738483,-4.025929,9.891812,-9.81242,8.207088,-7.964118,10.873588,-9.552959,8.537632,-7.937719,87.171028,-105.803619,797.353149,-61.068302,-150.53894,-0.791876,89611160,8004.994629,18.620588,-22.823166,68.318916,-14.955173,-30.691158,0.446254,128985.132813,247.621231,7.532318,88.84774,103.5,74.105263,888.477417,10.950535,90.46405,cell
69,142,164,183,202,218,62.277779,62.277779,62.277779,1.537692,0.957478,1.763587,1.334805,2.003802,1.326752,4.56992,-8.013834,4.719006,-8.582133,4.694914,-8.83984,2.055665,0.427935,2.310291,-4.413242,1.647991,0.285535,1.801234,-4.811112,3.069226,0.50636,3.993566,-5.530653,2.467348,0.27819,2.478524,-7.32375,4.61378,-8.583341,3.250477,-7.635434,4.648549,-8.455043,3.474621,-6.347423,4.958903,-8.112365,3.564619,-8.223311,4.780319,-8.470662,3.706812,-7.853426,114.782684,4.164185,-8570.847656,96.766464,-88.438095,0.374981,594789.5,34300.730469,35.492878,-33.418556,-257.882507,-10.243515,-56.593597,0.4924,2399254.75,2148.330078,4.31913,79.910385,94.055557,72.411766,799.103821,7.033609,78.204041,cell
84,158,175,189,203,217,81.045456,81.045456,81.045456,2.037718,1.527581,2.129136,1.746261,2.184574,1.593415,5.29083,-12.574776,5.384204,-11.269494,5.327369,-9.714464,2.601513,1.12771,3.15074,-2.604992,2.385292,1.169456,2.768329,-2.858128,3.401298,1.264923,5.272753,-3.299943,3.199717,1.386784,4.092728,-4.16043,5.397768,-11.174498,3.687808,-13.112722,5.738613,-11.864693,4.321773,-13.367973,5.588076,-8.700406,4.254616,-10.060028,5.473256,-9.86931,4.572633,-11.349628,111.143471,-82.248604,-4704.828125,-2.273382,-162.223831,0.441762,173072464,25584.144531,38.403038,-42.761505,-0.780365,-21.362511,-64.1605,0.53885,3349289.25,1831.667725,9.111092,90.791115,102.888885,85.052635,907.911133,6.595384,89.21875,cell
110,191,205,219,229,236,86.954544,86.954544,86.954544,2.718047,2.59567,2.522902,2.302735,2.352366,1.931446,5.823155,-14.175807,6.23577,-12.401595,6.080292,-10.315845,3.183843,2.264903,4.10207,2.194234,3.284921,2.528233,4.087361,3.110259,3.751785,2.117921,6.675843,0.530628,4.051582,2.646066,6.09003,0.578479,6.357531,-12.475451,4.131181,-16.128622,6.821866,-13.155907,4.644707,-16.088842,6.334558,-9.01145,5.067311,-11.623685,6.476124,-10.311073,5.685207,-13.437613,146.396301,-186.312714,5281.451172,-128.031876,-244.593552,0.553633,471624672,13586.623047,41.709366,-51.062027,273.093048,-31.600794,-70.523262,0.585708,3949997.75,1514.958496,14.324738,101.53508,112.5,92.823532,1015.35083,6.752149,100.652573,cell
131,220,232,243,250,255,127.166664,127.166664,130.277771,3.464945,3.297318,2.861404,2.808804,2.49837,2.258139,6.389527,-11.028963,7.202958,-11.408857,6.901889,-9.85938,3.689746,3.353361,6.374731,3.895599,4.01302,3.724732,7.767408,4.602868,4.020924,2.939078,8.377221,3.805006,4.725073,3.814511,8.751781,4.265624,7.375484,-11.752209,4.622182,-12.319509,7.682684,-11.639806,4.476183,-10.885463,7.128614,-8.999564,5.910776,-11.345202,7.659068,-9.925337,6.822699,-12.660743,200.867706,-279.626068,18304.400391,-244.365845,-314.886292,0.742368,388852992,4973.133789,44.2094,-56.861343,502.682129,-39.379326,-74.343361,0.619991,3952549.75,1222.483765,18.723923,109.552452,120.875,98.058823,1095.524536,7.718809,110.007355,cell
138,228,238,247,252,255,122.055557,122.055557,122.055557,3.774519,3.570238,3.11095,3.037028,2.628864,2.495609,6.815561,-7.699872,8.147483,-9.401438,7.703424,-9.158207,4.110402,3.758589,7.59583,4.126026,4.568016,4.234381,8.356478,4.969033,4.203401,3.524842,9.730342,4.456367,5.075109,4.532882,10.888005,5.445374,8.318642,-9.946873,5.19802,-6.911351,8.270597,-9.646141,4.220425,-5.171173,7.87809,-8.838606,6.679514,-9.718563,8.77507,-9.4707,7.727591,-10.060748,237.595245,-334.918518,27760.429688,-318.120453,-351.716583,1.074183,126606712,1128.699707,44.767204,-58.97406,628.786499,-43.459602,-74.488518,0.623265,3348538,962.793579,21.157677,113.416641,125.625,100.157898,1134.166382,8.662057,114.413315,cell
140,229,239,249,255,255,130.863632,130.863632,130.863632,3.713413,3.600079,3.181506,3.071393,2.624616,2.567918,7.515999,-6.70474,8.882024,-8.57072,8.376421,-8.673754,4.214992,3.734156,6.791465,3.877707,4.54847,4.125673,7.075139,4.553203,4.079974,3.817912,10.004325,4.586051,5.035392,4.790333,11.615569,5.295771,9.023953,-9.008822,6.307968,-4.865275,8.795233,-8.756198,5.103757,-4.018,8.488186,-8.870993,7.274523,-8.267188,9.551849,-9.248968,8.200171,-8.365965,238.427063,-336.870911,28295.308594,-328.199524,-345.542297,-1.135759,34132272,300.772522,42.811832,-56.776031,616.77417,-43.024479,-70.527588,0.573464,2438336,756.420837,20.955452,113.025681,126.0625,99.315788,1130.256836,9.250276,113.95356,cell
129,215,227,239,248,254,128.318176,128.318176,128.318176,3.370446,3.259,3.068689,2.906234,2.665898,2.459026,9.097174,-6.322244,9.633804,-8.042918,8.823789,-8.486053,4.020986,3.313082,5.401081,3.150046,4.149711,3.560542,5.216528,3.213906,3.949901,3.362428,9.48127,3.398523,4.669635,4.245869,10.196992,3.786276,9.661484,-8.417988,8.755092,-4.386014,9.453313,-8.228432,7.879475,-3.790105,8.884422,-8.766963,8.635511,-7.748599,9.843764,-8.695238,9.117851,-7.618228,204.93042,-286.892853,19898.173828,-260.840942,-312.944763,-0.528439,223449312,2714.810791,38.664886,-50.383804,470.421417,-37.56934,-63.198269,0.45612,1667411.75,656.842041,18.137169,108.963173,124.333336,95.842102,1089.631714,9.769787,108.723854,cell
116,198,212,226,238,245,121.954544,121.954544,121.954544,2.924158,2.754585,2.838674,2.59898,2.653475,2.265706,9.453556,-6.033775,9.891816,-7.430079,8.985541,-8.185026,3.611919,2.620471,4.293822,1.607215,3.56936,2.754519,3.424755,1.395288,3.885128,2.628344,8.32717,0.566069,4.256161,3.182124,7.719875,0.957265,9.844573,-7.666192,8.873,-4.02968,9.693025,-7.446177,8.147608,-3.79215,9.028275,-8.558053,9.196376,-7.281079,10.165565,-7.968604,9.665759,-6.711615,155.951782,-200.606537,7478.055176,-149.786362,-251.426712,-0.32901,415740576,10330.759766,33.732067,-40.678055,229.410004,-27.103592,-54.252518,0.297912,1219623.25,737.064209,13.3722,102.888306,120.777779,90.947365,1028.883057,10.33602,100.28595,cell
