@relation segment

@attribute original numeric
@attribute Lipschitz_true_true_5.0 numeric
@attribute Lipschitz_true_true_10.0 numeric
@attribute Lipschitz_true_true_15.0 numeric
@attribute Lipschitz_true_true_20.0 numeric
@attribute Lipschitz_true_true_25.0 numeric
@attribute 'Kuwahara_9_ 10_0' numeric
@attribute 'Kuwahara_9_ 10_1' numeric
@attribute 'Kuwahara_9_ 10_2' numeric
@attribute Gabor_1_1.0_1.0_0_2.0 numeric
@attribute Gabor_2_1.0_1.0_0_2.0 numeric
@attribute Gabor_1_1.0_0.5_0_2.0 numeric
@attribute Gabor_2_1.0_0.5_0_2.0 numeric
@attribute Gabor_1_1.0_0.25_0_2.0 numeric
@attribute Gabor_2_1.0_0.25_0_2.0 numeric
@attribute Gabor_1_1.0_1.0_2_2.0 numeric
@attribute Gabor_2_1.0_1.0_2_2.0 numeric
@attribute Gabor_1_1.0_0.5_2_2.0 numeric
@attribute Gabor_2_1.0_0.5_2_2.0 numeric
@attribute Gabor_1_1.0_0.25_2_2.0 numeric
@attribute Gabor_2_1.0_0.25_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_2.0 numeric
@attribute Gabor_2_2.0_1.0_0_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_3.0 numeric
@attribute Gabor_2_2.0_1.0_0_3.0 numeric
@attribute Gabor_1_2.0_2.0_0_2.0 numeric
@attribute Gabor_2_2.0_2.0_0_2.0 numeric
@attribute Gabor_1_2.0_2.0_0_3.0 numeric
@attribute Gabor_2_2.0_2.0_0_3.0 numeric
@attribute Gabor_1_4.0_1.0_0_2.0 numeric
@attribute Gabor_2_4.0_1.0_0_2.0 numeric
@attribute Gabor_1_4.0_1.0_0_3.0 numeric
@attribute Gabor_2_4.0_1.0_0_3.0 numeric
@attribute Gabor_1_4.0_2.0_0_2.0 numeric
@attribute Gabor_2_4.0_2.0_0_2.0 numeric
@attribute Gabor_1_4.0_2.0_0_3.0 numeric
@attribute Gabor_2_4.0_2.0_0_3.0 numeric
@attribute Gabor_1_2.0_1.0_2_2.0 numeric
@attribute Gabor_2_2.0_1.0_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_2_3.0 numeric
@attribute Gabor_2_2.0_1.0_2_3.0 numeric
@attribute Gabor_1_2.0_2.0_2_2.0 numeric
@attribute Gabor_2_2.0_2.0_2_2.0 numeric
@attribute Gabor_1_2.0_2.0_2_3.0 numeric
@attribute Gabor_2_2.0_2.0_2_3.0 numeric
@attribute Gabor_1_4.0_1.0_2_2.0 numeric
@attribute Gabor_2_4.0_1.0_2_2.0 numeric
@attribute Gabor_1_4.0_1.0_2_3.0 numeric
@attribute Gabor_2_4.0_1.0_2_3.0 numeric
@attribute Gabor_1_4.0_2.0_2_2.0 numeric
@attribute Gabor_2_4.0_2.0_2_2.0 numeric
@attribute Gabor_1_4.0_2.0_2_3.0 numeric
@attribute Gabor_2_4.0_2.0_2_3.0 numeric
@attribute Hessian_6.0 numeric
@attribute Hessian_Trace_6.0 numeric
@attribute Hessian_Determinant_6.0 numeric
@attribute Hessian_Eigenvalue_1_6.0 numeric
@attribute Hessian_Eigenvalue_2_6.0 numeric
@attribute Hessian_Orientation_6.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_6.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_6.0 numeric
@attribute Hessian_12.0 numeric
@attribute Hessian_Trace_12.0 numeric
@attribute Hessian_Determinant_12.0 numeric
@attribute Hessian_Eigenvalue_1_12.0 numeric
@attribute Hessian_Eigenvalue_2_12.0 numeric
@attribute Hessian_Orientation_12.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_12.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_12.0 numeric
@attribute Difference_of_gaussians_12.0_6.0 numeric
@attribute Membrane_projections_0_9_1 numeric
@attribute Membrane_projections_1_9_1 numeric
@attribute Membrane_projections_2_9_1 numeric
@attribute Membrane_projections_3_9_1 numeric
@attribute Membrane_projections_4_9_1 numeric
@attribute Membrane_projections_5_9_1 numeric
@attribute class {cell,back}

@data
177,253,255,255,255,255,166.722229,166.722229,166.722229,7.803686,6.662003,6.354196,5.531533,4.933125,4.379375,4.909884,-3.661982,6.928853,-6.125432,6.486146,-8.215776,9.600579,6.708905,16.33234,6.363822,10.241022,7.86155,15.851955,6.686615,7.492183,6.56707,12.913552,9.566103,9.219356,8.510298,14.988338,12.56319,6.791411,-6.133982,5.199192,-2.314455,6.255489,-6.174485,4.181838,-1.156756,6.82082,-9.039777,7.922422,-7.726638,8.542699,-9.001472,7.578195,-5.041909,385.658112,-542.810669,72264.335938,-505.440735,-580.180603,-0.735304,1645893248,5586.05127,68.302689,-86.45018,1169.320801,-60.009918,-112.890442,-1.090343,20898896,2796.350098,31.735634,131.203598,154.3125,114.833336,1312.036011,14.715781,127.882355,cell
175,253,255,255,255,255,161.409088,161.409088,161.409088,7.556741,6.492569,6.276043,5.362881,5.086136,4.238898,6.23466,-3.370671,8.435672,-5.452877,8.533162,-5.490116,9.346258,5.998677,15.017466,5.191367,10.00515,7.254126,15.0485,6.401417,7.968564,5.572796,13.126179,5.084254,9.450437,7.825183,15.236114,7.644102,8.521761,-5.355422,6.069744,-1.694036,7.399722,-5.226494,4.87299,-1.235437,8.754575,-6.976804,10.071757,-3.926512,8.930793,-8.159584,10.29754,-2.218807,363.356689,-498.450012,55125.078125,-414.855621,-582.044434,-0.611266,6944765952,27952.097656,71.801888,-86.950989,695.531616,-52.388191,-121.513786,-0.985125,36126580,4778.348145,30.182205,129.614502,154.833328,111.666664,1296.14502,15.775895,127.529411,cell
163,241,248,253,255,255,163.77272,163.77272,163.77272,6.994631,6.02384,5.942395,5.045575,5.111883,4.006742,8.030665,-3.009662,9.611246,-4.605359,10.123731,-4.613697,8.673946,5.274956,13.017175,4.779964,9.229527,6.460251,13.388918,6.634593,8.046879,4.290604,12.903223,0.858748,9.128359,6.208822,14.197517,3.046228,9.450388,-4.354321,8.580269,-1.769766,8.609379,-4.091389,6.926731,-1.481517,9.828039,-6.353472,9.634384,-0.95059,9.495386,-6.884297,10.481041,-1.476162,319.44455,-410.179565,27251.652344,-288.482544,-531.876587,-0.547345,9967080448,59240.664063,71.881119,-81.348312,-96.824951,-39.500828,-123.195793,-0.910232,46354916,7004.847656,25.841125,124.013367,149.388885,105.666664,1240.133667,15.405121,122.975235,cell
147,224,236,246,253,255,141.611115,141.611115,141.611115,6.089846,5.407958,5.443659,4.615392,5.011802,3.721552,9.631376,-2.660154,9.995607,-3.654156,10.833086,-3.7612,7.660141,4.497521,10.261797,3.948496,7.951343,5.390724,10.294722,5.266647,7.821908,2.969112,11.882282,-2.159583,8.356483,4.477597,12.308471,-0.363135,9.605032,-3.254059,10.669798,-1.901312,9.285676,-2.958646,9.46409,-1.887414,9.960917,-5.462872,9.83188,-0.492879,9.465987,-5.413869,9.565454,-0.661364,269.444672,-300.140747,919.160156,-153.164703,-447.116791,-0.508983,7784003072,86407.828125,69.61042,-71.209518,-1000.406982,-23.584883,-118.834152,-0.853737,46004408,9072.423828,19.832314,115.914108,139.888885,98.611115,1159.141113,14.223179,115.411766,cell
94,152,167,182,195,205,131.590912,131.590912,131.590912,3.971123,2.958574,3.579157,2.838754,3.48967,2.528732,5.638693,-20.327335,2.357737,-17.084621,1.628792,-14.129889,4.979647,2.082363,9.740998,-1.414719,4.986441,2.660463,8.442929,-0.107193,4.255264,1.452426,6.881594,-4.672387,4.706134,2.240533,6.974437,-3.092737,2.438739,-17.445513,7.488169,-21.803577,2.589245,-19.043249,8.127637,-23.236029,-1.532718,-12.812148,5.91915,-15.790398,-2.16405,-14.29161,5.686138,-17.90868,97.802803,-69.3405,-4245.549805,4.467197,-143.148193,0.487671,104770072,21790.304688,30.742838,-39.668747,251.097748,-27.739597,-51.597897,0.956438,895727.625,569.218506,6.761414,92.387085,105.625,85.529411,923.87085,6.543437,89.616959,cell
138,208,218,228,236,241,145.045456,145.045456,145.045456,5.55898,5.354296,4.633027,4.301413,4.005318,3.448329,6.065586,-17.762596,2.717647,-15.823882,1.892357,-14.175112,6.432791,5.039792,10.712588,7.50307,7.104503,6.051461,11.574615,8.573406,5.72138,3.658392,8.794415,1.50764,6.770601,4.835031,10.109528,5.368396,2.967803,-16.293865,9.17065,-19.037258,3.006716,-17.384697,10.212277,-18.674469,-0.769353,-12.937694,6.216899,-16.349304,-1.028803,-13.614942,5.783473,-17.424952,197.597061,-273.624268,17108.5625,-233.511932,-313.736603,0.776748,481864672,6435.997559,47.466206,-64.490227,947.858948,-54.904381,-74.076073,1.400695,1528651.75,367.55365,17.981476,112.943863,122.375,103.526314,1129.438599,5.750122,111.463234,cell
166,242,247,252,255,255,161.166672,161.166672,161.166672,6.84508,6.439227,5.522268,5.374364,4.611197,4.216388,5.0105,-9.195799,2.865734,-10.456864,2.102536,-12.29772,7.610193,7.05972,13.834913,9.685946,8.46066,8.217386,14.787133,9.636573,7.107169,5.452052,13.548678,6.752788,8.637597,6.988158,14.867219,9.677776,3.386239,-10.943737,10.05862,-11.001927,3.151893,-10.901977,10.390725,-10.792701,0.292874,-11.646316,6.393596,-13.63597,0.647684,-10.605494,5.873724,-11.961187,318.462341,-446.237732,48795.472656,-414.828247,-477.647217,1.393526,785804288,3946.224609,63.231236,-85.239105,1617.141113,-71.122261,-99.355949,-1.360463,5791790,797.140808,27.572388,128.125732,137,116.052635,1281.257324,6.77354,127.308044,cell
179,255,255,255,255,255,166.833328,166.833328,166.833328,7.375884,7.004113,6.112785,5.919045,5.010902,4.682841,3.760187,-4.661103,2.925866,-5.123124,2.24258,-9.197005,8.343508,7.715657,11.148082,9.622274,9.136264,8.702268,10.819387,9.587411,7.953029,6.403283,14.937085,9.399333,9.795916,8.389536,16.493181,11.037589,3.722695,-4.845907,10.212689,-9.87842,3.375732,-4.820045,9.632623,-9.253512,1.517471,-9.106408,6.441429,-9.149708,2.335671,-6.596238,6.018809,-7.598423,390.611633,-546.499634,72821.789063,-503.561646,-589.437622,-1.315342,2202535680,7374.680664,75.100227,-99.638016,2029.73584,-78.373077,-120.902954,-1.175753,17957196,1808.790894,33.730354,137.33847,147.875,124.684212,1373.384644,7.210173,138.699692,cell
182,255,255,255,255,255,155.409088,166.722229,166.722229,7.526033,6.966941,6.356712,5.973176,5.3096,4.782665,3.363492,-3.203162,2.992091,-2.406409,4.037517,-5.272235,8.580898,7.253217,11.232714,6.740346,9.215285,8.183355,10.08686,7.40608,8.429576,6.848514,13.603066,9.593301,10.035661,8.714184,14.415511,11.463461,3.970627,-3.211349,9.835098,-8.733231,3.78663,-3.541987,9.054383,-8.251577,3.850269,-6.42999,6.969928,-5.121621,3.564512,-4.118723,6.168134,-6.377684,401.742737,-561.997864,75998.3125,-507.572784,-616.422913,-1.000302,3742202624,11848.352539,81.776886,-106.307739,2013.562378,-77.816139,-134.799347,-1.062634,36696408,3247.085938,35.631508,140.304779,151.4375,129.157898,1403.047852,7.789755,140.678009,cell
176,252,255,255,255,255,163.77272,163.77272,163.77272,7.381068,6.566088,6.280453,5.747088,5.379862,4.653039,4.892636,-2.992974,4.554323,-1.404834,6.090667,-1.913361,8.357128,6.476325,11.437763,5.420721,8.812089,7.346809,10.260338,6.291697,8.5903,6.407174,12.624582,6.555397,9.68198,8.002966,12.362328,8.725097,5.109504,-2.062205,9.026101,-7.484678,5.382927,-3.026332,9.115593,-7.555074,6.722041,-3.640491,9.864078,-3.259531,5.008506,-3.225092,8.889951,-5.249647,364.811005,-506.154694,59098.460938,-435.80069,-576.508667,-0.739775,5072289280,19798.736328,83.134804,-104.998306,1528.300781,-69.957466,-140.039139,-0.976743,54146888,4911.440918,33.504845,137.518723,150.588242,127.388885,1375.187256,8.683822,135.489166,cell
